Location,Address,Longitude,Latitude,Meal Times,Dates of Service
A. Q. Jones Center,"13800 NW 152nd Pl, Alachua, FL, 32615, USA",-82.49250,29.79451,B (8:45-9:15); L (11:00-11:30),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Alachua Elementary,"1108 NW 7th Ave, Gainesville, FL, 32601, USA",-82.33617,29.65801,B (7:30-8:00); L (11:00-11:30),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Bishop Middle,"1303 NE 23rd Ave, Gainesville, FL, 32609, USA",-82.30838,29.67333,B (8:00-8:30); L (11:00-11:30),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Boulware Springs Charter School (K-5),"1901 NE 9th St, Gainesville, FL, 32609, USA",-82.31415,29.66916,L (11:30-11:45); LS (1:00-1:10),06/02/25-06/06/25 (M-F)
Boys and Girls Club – Northwest,"2700 NW 51st St, Gainesville, FL, 32606, USA",-82.39684,29.67741,B (9:00-10:00); L (12:30-1:30),06/16/25-07/18/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Boys and Girls Club – Woodland Park,"331 SE 20th Pl, Gainesville, FL, 32641, USA",-82.31648,29.63243,B (9:00-10:00); L (12:30-1:30),06/16/25-07/18/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25; 07/15/25
Buchholz High,"5510 NW 27th Ave, Gainesville, FL, 32606, USA",-82.40182,29.67857,B (8:30-9:30); L (10:45-12:05),06/09/25-07/24/25 (M-TH) Closed 06/19/25; 07/03/25; Open 06/20/25
Cade Museum for Creativity and Invention,"1951 SE 4th St, Gainesville, FL, 32641, USA",-82.31542,29.63368,L (11:00-11:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 06/30/25-07/04/25
Caring and Sharing Learning School,"811 S Main St, Gainesville, FL, 32601, USA",-82.32489,29.64364,B (7:30-8:15); L (11:00-12:00),06/04/25-07/25/25 (M-F) Closed 06/19/25; 07/04/25
Celebration United Methodist Church,"210 SE 134th Ave, Micanopy, FL, 32667, USA",-82.31773,29.53340,L (12:00-12:30); LS (3:30-4:00),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Chiles Elementary,"9501 SW Archer Rd, Gainesville, FL, 32608, USA",-82.44390,29.58698,B (7:30-8:00); L (11:30-12:00),06/09/25-07/18/25 (M-F) Closed 07/04/25
Cuscowilla,"2525 School House Rd, Gainesville, FL, 32608, USA",-82.44463,29.62883,B (8:00-8:45); L (12:00-12:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25; No lunch on Fridays
Deeper Purpose Community Church,"2106 NE 8th Ave, Gainesville, FL, 32641, USA",-82.29695,29.65973,B (8:15-8:45); L (11:45-12:15),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Destiny Community Church,"20820 W Newberry Rd, Newberry, FL, 32669, USA",-82.56435,29.65681,B (9:00-9:30); L (12:00-12:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 06/23/25-06/27/25; 07/04/25
Early Learning Academy at Duval,"24880 NW 16th Ave, Newberry, FL, 32669, USA",-82.60405,29.66904,B (7:30-8:00); L (11:00-11:30),06/09/25-07/31/25 (M-TH) Closed 06/19/25; 07/03/25-07/04/25; Open 06/20/25
Eastside High School,"1201 SE 43rd St, Gainesville, FL, 32641, USA",-82.26959,29.63983,B (8:30-9:00); L (11:50-12:30),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Eastside Community Center,"24505 Newberry Ln, Newberry, FL, 32669, USA",-82.60196,29.65369,B (8:00-8:30); L (12:00-12:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/04/25
Easton Newberry Sports Complex,"2841 E University Ave, Gainesville, FL, 32641, USA",-82.28747,29.65143,B (8:00-8:30); L (11:00-11:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
First Missionary Baptist Church,"19930 N US Highway 441, #A, High Springs, FL, 32643, USA",-82.60177,29.83659,B (7:45-8:15); L (12:00-12:30),06/09/25-07/11/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Freddie Warmack Park,"1515 SE 15th St, Gainesville, FL, 32641, USA",-82.30548,29.63673,B (8:25-8:55); L (11:30-12:00),06/09/25-06/10/25 (M&T); 06/16/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25; No lunch 06/10/25 & Fridays
Gainesville High School,"2101 NW 39th Ave, Gainesville, FL, 32605, USA",-82.35114,29.68773,B (8:00-9:00); L (11:15-12:00),06/09/25-07/22/25 (M-TH) Closed 06/19/25; 07/03/25; Open 06/20/25
Girls Place,"1900 NW 13th St, Gainesville, FL, 32609, USA",-82.34005,29.66956,L (11:30-12:00); LS (3:00-3:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Glen Springs Elementary,"22000 SE 65th Ave, Hawthorne, FL, 32640, USA",-82.08803,29.59466,B (7:30-8:30); L (11:30-12:00),06/09/25-07/18/25 (M-F) Closed 07/04/25
Hawthorne Academy,"2826 NW 31st Ave, Gainesville, FL, 32605, USA",-82.36476,29.68240,B (8:00-8:45); L (11:15-12:00),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Hawthorne High,"2100 Fort Clarke Blvd, Gainesville, FL, 32606, USA",-82.44055,29.67149,B (8:30-9:00); L (12:00-12:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Hidden Oak Elementary,"2802 NE 8th Ave, Gainesville, FL, 32641, USA",-82.28846,29.65977,B (7:30-8:00); L (11:00-11:30),06/09/25-07/18/25 (M-F) Closed 07/04/25
High Springs Community School,"13505 NW 140th St, Alachua, FL, 32615, USA",-82.49302,29.77943,B (7:30-8:00); L (11:00-12:00),06/09/25-07/18/25 (M-F) Closed 07/04/25
Horizon Center,"19559 High Springs Main St, High Springs, FL, 32643, USA",-82.59042,29.83440,SPIKE G&G (10:30-12:30); B (8:15-8:45); L (11:15-11:45),06/05/25 (TH); 06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Irby Elementary,"NW 69th Ave, Gainesville, FL, 32653, USA",-82.45129,29.71144,B (7:30-8:10); L (11:00-12:10),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Kanapaha Middle,"15400 Peggy Rd, Alachua, FL, 32615, USA",-82.50801,29.78498,B (8:00-8:30); L (11:00-11:30),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Lanier Center,"5005 SW 75th St, Gainesville, FL, 32608, USA",-82.42083,29.60762,B (8:30-9:00); L (11:00-11:30),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Legacy Park Multipurpose Center,"312 NW 16th Ave, Gainesville, FL, 32601, USA",-82.32772,29.66708,B (9:30-10:00); L (12:30-1:00),06/09/25-07/25/25 (M-F) Closed 06/19/25; 06/30/25-07/04/25
Lewis Place Apartments,"4121 NE 15th St, Gainesville, FL, 32609, USA",-82.30537,29.69110,B (8:30-9:00); L (12:00-12:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Library Partnership #2,"912 NE 16th Ave, Gainesville, FL, 32601, USA",-82.31442,29.66693,B (9:30-10:00); L (12:00-12:30),"06/09/25-07/24/25 (M-TH) Closed 06/19/25; 06/30/25-07/03/25; Lunch closed 6/12, 6/23, 6/26, 7/15, 7/17, 7/21"
Lincoln Middle,"3000 E University Ave, Gainesville, FL, 32641, USA",-82.28581,29.65518,B (8:45-9:00); L (12:00-12:15),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Loften Center,"1001 SE 12th St, Gainesville, FL, 32641, USA",-82.30868,29.64218,B (8:30-9:00); L (11:30-12:00),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Majestic Oaks Apartments,"11525 NW 39th Ave, Gainesville, FL, 32606, USA",-82.46221,29.68785,L (12:30-1:00); LS (3:00-3:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Meadowbrook Elementary,"5800 SW 20th Ave, Gainesville, FL, 32607, USA",-82.40511,29.64086,B (7:30-8:00); L (11:00-11:30),06/09/25-07/18/25 (M-F) Closed 07/04/25
Meizon Church,"1250 NE 18th Ave, Gainesville, FL, 32609, USA",-82.30854,29.66887,L (12:00-12:30); LS (3:30-4:00),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Metcalfe Elementary,"95 NW 253rd St, Newberry, FL, 32669, USA",-82.61027,29.64691,B (7:30-8:30); L (11:00-12:00),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
Mini Faces Academy,"25705 SW 15th Ave, Newberry, FL, 32669, USA",-82.61385,29.63766,B (8:30-9:00); L (11:30-12:00),06/16/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Newberry Elementary,"3411 NW 83rd St, Gainesville, FL, 32606, USA",-82.42960,29.68471,B (7:30-8:00); L (11:30-12:00),06/09/25-07/18/25 (M-F) Closed 07/04/25
Newberry High School,"400 SW 258th St, Newberry, FL, 32669, USA",-82.61544,29.64255,B (8:30-9:00); L (11:30-12:00),06/09/25-07/02/25 (M-TH) Closed 06/19/25; Open 06/20/25
North Central FL Community Center,"2200 NW 45th Ave, Gainesville, FL, 32605, USA",-82.35435,29.69648,B (9:00-9:30); L (11:15-12:00),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Norton Elementary,"5201 NW 34th Blvd, Gainesville, FL, 32605, USA",-82.36632,29.70127,B (7:30-8:30); L (11:00-12:15),06/09/25-07/18/25 (M-F) Closed 07/04/25
One Room School House,"1912 NW 5th Ave, Gainesville, FL, 32603, USA",-82.34872,29.65653,B (7:30-8:00); L (11:30-12:00),05/27/25-06/27/25 (M-F) Closed 06/19/25
Parker Elementary,"3930 NE 15th St, Gainesville, FL, 32609, USA",-82.30695,29.68891,B (7:30-8:00); L (10:45-11:30),06/09/25-07/18/25 (M-F) Closed 07/04/25
Phoenix Apartments,"1700 SE 35th Ave, Gainesville, FL, 32641, USA",-82.30198,29.62095,B (8:00-8:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/04/25
PK Yonge,"1200 SW 6th St, Gainesville, FL, 32601, USA",-82.33431,29.63994,B (7:30-8:30); L (12:00-1:00),06/02/25-07/25/25 (M-F) Closed 07/04/25
Rawlings Elementary,"3113 SW 26th Dr, Gainesville, FL, 32608, USA",-82.36164,29.62245,B (7:30-8:30); L (11:00-12:00),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
Prairie View Elementary,"3500 NE 15th St, Gainesville, FL, 32609, USA",-82.30678,29.68432,B (8:00-8:30); L (12:00-12:30),06/16/25-07/25/25 (M-F) Closed 07/04/25; Open 06/19/25 & 07/03/25
Santa Fe High,"16213 NW US Highway 441, Alachua, FL, 32615, USA",-82.52392,29.80629,B (8:30-9:00); L (12:00-12:30),06/09/25-07/24/25 (M-TH) Closed 06/19/25; 07/03/25; Open 06/20/25
Shell Elementary,"21633 SE 65th Ave, Hawthorne, FL, 32640, USA",-82.09100,29.59385,B (7:30-8:30); L (11:30-12:30),06/09/25-07/25/25 (M-F) Closed 07/04/25
St. Barbara Leadership Institute,"908 SE Williston Rd, Gainesville, FL, 32641, USA",-82.31446,29.63825,B (8:00-8:30); L (11:00-11:30),06/09/25-07/18/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25
SWAG Family Resource Center,"807 SW 64th Ter, Gainesville, FL, 32607, USA",-82.41122,29.64486,B (9:00-9:30); L (11:30-12:00),"06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/03/25-07/04/25; Lunch closed 6/12, 6/23, 6/26, 7/10, 7/15, 7/24"
T B McPherson Rec,"1717 SE 15th St, Gainesville, FL, 32641, USA",-82.30533,29.63392,B (8:00-8:30); L (12:00-12:30),06/09/25-07/25/25 (M-F) Closed 06/19/25; 07/04/25
Talbot Elementary,"3999 SW 122nd St, Gainesville, FL, 32608, USA",-82.47099,29.61744,B (7:30-8:00); L (11:30-12:00),06/09/25-07/18/25 (M-F) Closed 07/04/25
Terwilliger Elementary,"13558 NE 148th Ave, Waldo, FL, 32694, USA",-82.17837,29.79116,B (7:30-8:00); L (10:00-12:00),06/09/25-07/18/25 (M-F); 07/21/25-07/31/25 (M-TH) Closed 07/04/25
Victorious Faith,"5701 NW 43rd St, Gainesville, FL, 32653, USA",-82.38719,29.70745,L (11:00-11:30),06/09/25-06/12/25 (M-TH)
Waldo Community Center,"3215 NW 15th Ave, Gainesville, FL, 32605, USA",-82.37055,29.66497,B (8:00-8:30); L (12:00-12:30),06/09/25-07/24/25 (M-TH) Closed 06/19/25; 07/03/25
