Location,Address,FullAddress,Longitude,Latitude,Meal Times,Dates of Service
A. Q. Jones Center,"1108 NW 7th Avenue, Gainesville","1108 NW 7th Ave, Gainesville, FL, 32601, USA",-82.33617,29.65801,"B (8:45-9:15), L (11:00-11:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Alachua Elementary,"13800 NW 152nd Place, Alachua","13800 NW 152nd Pl, Alachua, FL, 32615, USA",-82.4925,29.79451,"B (7:30-8:00), L (11:00-11:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Bishop Middle,"1901 NE 9th Street, Gainesville","1901 NE 9th St, Gainesville, FL, 32609, USA",-82.31415,29.66916,"B (8:00-8:30), L (11:00-11:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Boulware Springs Charter School (K-5),"1303 NE 23rd Avenue, Gainesville","1303 NE 23rd Ave, Gainesville, FL, 32609, USA",-82.30838,29.67333,"L (11:30-11:45), LS (1:00-1:10)",06/02/25-6/06/25 (M-F)
Boys and Girls Club - Northwest,"2700 NW 51st Street, Gainesville","2700 NW 51st St, Gainesville, FL, 32606, USA",-82.39684,29.67741,"B (9:00-10:00), L (12:30-1:30)","06/16/25-07/18/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Boys and Girls Club - Woodland Park,"331 SE 20th Place, Gainesville","331 SE 20th Pl, Gainesville, FL, 32641, USA",-82.31648,29.63243,"B (9:00-10:00), L (12:30-1:30)","06/16/25-07/18/25 (M-F) Closed 06/19/25, 07/3/25-07/4/25. 07/15/25"
Buchholz High,"5510 NW 27th Avenue, Gainesville","5510 NW 27th Ave, Gainesville, FL, 32606, USA",-82.40182,29.67857,"B (8:30-9:30), L (10:45-12:05)","06/09/25-07/24/25 (M-TH) Closed Thursday 06/19/25, 07/03/25, Open Friday 06/20/25"
Cade Museum for Creativity and Invention,"811 S Main Street, Gainesville","811 S Main St, Gainesville, FL, 32601, USA",-82.32489,29.64364,L (11:00-11:30),"06/09/25-07/25/25 (M-F) Closed 06/19/25, 06/30/25-07/04/25"
Caring and Sharing Learning School,"1951 SE 4th Street, Gainesville","1951 SE 4th St, Gainesville, FL, 32641, USA",-82.31542,29.63368,"B (7:30-8:15), L (11:00-12:00)","06/04/25-07/25/25 (M-F) Closed 06/19/25, 07/04/25"
Celebration United Methodist Church,"9501 SW Archer Road, Archer","9501 SW Archer Rd, Gainesville, FL, 32608, USA",-82.4439,29.58698,L (12:00-12:30) LS (3:30-4:00),"06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/4/25"
Chiles Elementary,"2525 Schoolhouse Road, Gainesville","2525 School House Rd, Gainesville, FL, 32608, USA",-82.44463,29.62883,"B (7:30-8:00), L (11:30-12:00)",06/09/25-07/18/25 (M-F) Closed 07/04/25
Cuscowilla,"210 SE 134th Avenue, Micanopy","210 SE 134th Ave, Micanopy, FL, 32667, USA",-82.31773,29.5334,B (8:00-8:45) L (12:00-12:30),"06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25; No lunch of Fridays"
Deeper Purpose Community Church,"19930 N US Hwy. 441, Suite A, High Springs","19930 N US Highway 441, #A, High Springs, FL, 32643, USA",-82.60177,29.83659,"B (8:15-8:45), L (11:45-12:15)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
Destiny Community Church,"20820 W Newberry Road, Newberry","20820 W Newberry Rd, Newberry, FL, 32669, USA",-82.56435,29.65681,"B (9:00-9:30), L (12:00-12:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 06/23/25-06/27/25, 07/04/25"
Early Learning Academy at Duval,"2106 NE 8th Avenue, Gainesville","2106 NE 8th Ave, Gainesville, FL, 32641, USA",-82.29695,29.65973,"B (7:30-8:00), L (11:00-11:30)","06/09/25-07/31/25 (M-TH) Closed Thursday 06/19/25, 07/03/25-07/04/25; Open Friday 06/20/25"
Eastside High School,"1201 SE 43rd Street, Gainesville","1201 SE 43rd St, Gainesville, FL, 32641, USA",-82.26959,29.63983,"B (8:30-9:00), L (11:50-12:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25"
Eastside Community Center,"2841 E University Avenue, Gainesville","2841 E University Ave, Gainesville, FL, 32641, USA",-82.28747,29.65143,B (8:00-8:30) L (12:00-12:30),06/09/25-07/25/25 (M-F) Closed 06/19/25 & 07/04/25
Easton Newberry Sports Complex,"24880 NW 16th Avenue, Newberry","24880 NW 16th Ave, Newberry, FL, 32669, USA",-82.60405,29.66904,"B (8:00-8:30), L (11:00-11:30)","06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
First Missionary Baptist Church,"1515 SE 15th Street, Gainesville","1515 SE 15th St, Gainesville, FL, 32641, USA",-82.30548,29.63673,"B (7:45-8:15), L (12:00-12:30)","06/09/25-07/11/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25"
