Location,Address,FullAddress,Longitude,Latitude,Meal Times,Dates of Service,2025-06-09,2025-06-10,2025-06-11,2025-06-12,2025-06-13,2025-06-14,2025-06-15,2025-06-16,2025-06-17,2025-06-18,2025-06-19,2025-06-20,2025-06-21,2025-06-22,2025-06-23,2025-06-24,2025-06-25,2025-06-26,2025-06-27,2025-06-28,2025-06-29,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25
A. Q. Jones Center,"1108 NW 7th Avenue, Gainesville","1108 NW 7th Ave, Gainesville, FL, 32601, USA",-82.33617,29.65801,"B (8:45-9:15), L (11:00-11:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25",08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,,,,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,,,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,,,,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,08:45-09:15;11:00-11:30,,,,,,,,,,,,,,,,,,,,,,,
Alachua Elementary,"13800 NW 152nd Place, Alachua","13800 NW 152nd Pl, Alachua, FL, 32615, USA",-82.4925,29.79451,"B (7:30-8:00), L (11:00-11:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25",07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,07:30-08:00;11:00-11:30,,,,,,,,,,,,,,,,,,,,,,,
Bishop Middle,"1901 NE 9th Street, Gainesville","1901 NE 9th St, Gainesville, FL, 32609, USA",-82.31415,29.66916,"B (8:00-8:30), L (11:00-11:30)","06/09/25-07/02/25 (M-TH) Closed Thursday 06/19/25, Open Friday 06/20/25",08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,08:00-08:30;11:00-11:30,,,,,,,,,,,,,,,,,,,,,,,
Boulware Springs Charter School (K-5),"1303 NE 23rd Avenue, Gainesville","1303 NE 23rd Ave, Gainesville, FL, 32609, USA",-82.30838,29.67333,"L (11:30-11:45), LS (1:00-1:10)",06/02/25-6/06/25 (M-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys and Girls Club - Northwest,"2700 NW 51st Street, Gainesville","2700 NW 51st St, Gainesville, FL, 32606, USA",-82.39684,29.67741,"B (9:00-10:00), L (12:30-1:30)","06/16/25-07/18/25 (M-F) Closed 06/19/25, 07/03/25-07/04/25",,,,,,,,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,,,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,,,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,,,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,,,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,,,,,,,
Boys and Girls Club - Woodland Park,"331 SE 20th Place, Gainesville","331 SE 20th Pl, Gainesville, FL, 32641, USA",-82.31648,29.63243,"B (9:00-10:00), L (12:30-1:30)","06/16/25-07/18/25 (M-F) Closed 06/19/25, 07/3/25-07/4/25. 07/15/25",,,,,,,,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,,,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,,,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,,,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,,,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,09:00-10:00;12:30-01:30,,,,,,,
Buchholz High,"5510 NW 27th Avenue, Gainesville","5510 NW 27th Ave, Gainesville, FL, 32606, USA",-82.40182,29.67857,"B (8:30-9:30), L (10:45-12:05)","06/09/25-07/24/25 (M-TH) Closed Thursday 06/19/25, 07/03/25, Open Friday 06/20/25",08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,,,,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,,,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,,,,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,,,,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,,,,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,,,,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,08:30-09:30;10:45-12:05,
Cade Museum for Creativity and Invention,"811 S Main Street, Gainesville","811 S Main St, Gainesville, FL, 32601, USA",-82.32489,29.64364,L (11:00-11:30),"06/09/25-07/25/25 (M-F) Closed 06/19/25, 06/30/25-07/04/25",11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,,,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,,,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,,,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,,,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,,,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,,,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30,11:00-11:30
Caring and Sharing Learning School,"1951 SE 4th Street, Gainesville","1951 SE 4th St, Gainesville, FL, 32641, USA",-82.31542,29.63368,"B (7:30-8:15), L (11:00-12:00)","06/04/25-07/25/25 (M-F) Closed 06/19/25, 07/04/25",07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,,,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,,,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,,,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,,,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,,,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,,,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00,07:30-08:15;11:00-12:00
Celebration United Methodist Church,"9501 SW Archer Road, Archer","9501 SW Archer Rd, Gainesville, FL, 32608, USA",-82.4439,29.58698,L (12:00-12:30) LS (3:30-4:00),"06/09/25-07/25/25 (M-F) Closed 06/19/25, 07/03/25-07/4/25",12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,,,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,,,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,,,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,,,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,,,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,,,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30,12:00-12:30
